iter	Passed	Remaining
193	1749	4563
194	1760	4559
195	1772	4558
196	1783	4553
197	1794	4549
198	1804	4543
199	1815	4539
200	1826	4534
201	1838	4531
202	1843	4513
203	1854	4507
204	1865	4503
205	1875	4498
206	1886	4494
207	1897	4489
208	1909	4484
209	1919	4479
210	1930	4473
211	1941	4468
212	1951	4461
213	1962	4456
214	1973	4451
215	1983	4444
216	1994	4439
217	2005	4434
218	2016	4429
219	2027	4423
220	2038	4418
221	2049	4412
222	2059	4405
223	2070	4400
224	2081	4393
225	2091	4387
226	2102	4381
227	2113	4374
228	2123	4367
229	2134	4362
230	2145	4356
231	2157	4351
232	2167	4345
233	2178	4339
234	2189	4332
235	2200	4325
236	2211	4319
237	2222	4313
238	2232	4306
239	2244	4301
240	2254	4294
241	2265	4286
242	2276	4281
243	2288	4276
244	2298	4269
245	2309	4262
246	2320	4256
247	2331	4249
248	2342	4242
249	2353	4235
250	2363	4228
251	2374	4221
252	2385	4214
253	2396	4207
254	2399	4187
255	2402	4166
256	2413	4159
257	2424	4153
258	2435	4146
259	2445	4139
260	2457	4132
261	2468	4125
262	2478	4118
263	2489	4111
264	2500	4104
265	2511	4097
266	2521	4089
267	2532	4082
268	2543	4075
269	2554	4068
270	2565	4061
271	2576	4054
272	2587	4046
273	2597	4038
274	2608	4031
275	2618	4023
276	2629	4015
277	2640	4008
278	2651	4001
279	2662	3993
280	2673	3986
281	2683	3978
282	2694	3970
283	2704	3962
284	2715	3954
285	2726	3946
286	2738	3940
287	2749	3933
288	2760	3926
289	2772	3919
290	2782	3910
291	2793	3903
292	2805	3896
293	2815	3888
294	2827	3881
295	2838	3873
296	2849	3866
297	2860	3859
298	2871	3850
299	2882	3842
300	2892	3834
301	2903	3826
302	2914	3818
303	2924	3810
304	2935	3801
305	2945	3792
306	2956	3784
307	2966	3775
308	2977	3767
309	2988	3759
310	2998	3750
311	3009	3742
312	3020	3734
313	3030	3725
314	3041	3717
315	3041	3696
316	3052	3688
317	3062	3679
318	3073	3671
319	3085	3663
320	3096	3655
321	3107	3647
322	3118	3639
323	3128	3630
324	3139	3622
325	3150	3614
326	3161	3606
327	3172	3597
328	3182	3588
329	3193	3580
330	3203	3571
331	3214	3562
332	3225	3554
333	3236	3546
334	3246	3537
335	3257	3529
336	3268	3520
337	3279	3512
338	3290	3504
339	3301	3495
340	3312	3487
341	3316	3471
342	3326	3462
343	3337	3453
344	3348	3445
345	3358	3436
346	3370	3428
347	3380	3419
348	3391	3411
349	3402	3402
350	3413	3394
351	3424	3385
352	3435	3376
353	3445	3368
354	3456	3358
355	3466	3349
356	3477	3340
357	3488	3332
358	3498	3323
359	3510	3315
360	3521	3307
361	3532	3298
362	3534	3280
363	3544	3271
364	3555	3262
365	3566	3254
366	3576	3245
367	3588	3237
368	3598	3228
369	3610	3219
370	3620	3210
371	3631	3201
372	3641	3192
373	3652	3183
374	3663	3174
375	3674	3166
376	3685	3157
377	3696	3148
378	3707	3140
379	3718	3131
380	3721	3116
381	3733	3107
382	3744	3099
383	3754	3089
384	3766	3081
385	3777	3072
386	3789	3064
387	3799	3055
388	3810	3046
389	3820	3037
390	3831	3028
391	3842	3019
392	3852	3009
393	3863	3000
394	3865	2984
395	3876	2976
396	3887	2966
397	3898	2957
398	3909	2948
399	3919	2939
400	3930	2930
401	3941	2921
402	3952	2912
403	3962	2903
404	3974	2894
405	3985	2885
406	3995	2876
407	4006	2867
408	4017	2858
409	4027	2848
410	4038	2839
411	4048	2830
412	4059	2820
413	4069	2811
414	4080	2802
415	4090	2792
416	4101	2783
417	4112	2774
418	4123	2765
419	4134	2756
420	4144	2746
421	4155	2737
422	4165	2727
423	4167	2712
424	4178	2703
425	4189	2694
426	4200	2685
427	4211	2676
428	4222	2667
429	4233	2658
430	4245	2649
431	4246	2634
432	4256	2624
433	4268	2616
434	4279	2607
435	4290	2597
436	4301	2588
437	4312	2579
438	4323	2570
439	4334	2561
440	4345	2552
441	4355	2542
442	4366	2532
443	4377	2523
444	4388	2514
445	4399	2505
446	4410	2496
447	4421	2486
448	4424	2473
449	4434	2463
450	4445	2454
451	4456	2445
452	4467	2435
453	4477	2426
454	4488	2416
455	4499	2407
456	4510	2398
457	4521	2389
458	4532	2379
459	4543	2370
460	4554	2361
461	4556	2347
462	4567	2337
463	4578	2328
464	4588	2319
465	4589	2304
466	4600	2295
467	4611	2286
468	4622	2276
469	4622	2262
470	4632	2252
471	4643	2242
472	4643	2228
473	4653	2218
474	4664	2209
475	4675	2200
476	4686	2191
477	4687	2176
478	4697	2167
479	4708	2158
480	4718	2148
481	4730	2139
482	4740	2129
483	4751	2120
484	4763	2111
485	4773	2102
486	4777	2089
487	4788	2080
488	4799	2070
489	4810	2061
490	4821	2052
491	4832	2042
492	4843	2033
493	4854	2024
494	4865	2014
495	4876	2005
496	4876	1991
497	4887	1982
498	4898	1972
499	4908	1963
500	4919	1953
501	4930	1944
502	4940	1934
503	4951	1925
504	4961	1915
505	4972	1906
506	4983	1897
507	4989	1885
508	5000	1876
509	5010	1866
510	5021	1857
511	5023	1844
512	5023	1831
513	5034	1821
514	5045	1812
515	5056	1802
516	5067	1793
517	5077	1784
518	5088	1774
519	5098	1764
520	5109	1755
521	5120	1746
522	5131	1736
523	5141	1726
524	5141	1713
525	5152	1704
526	5153	1691
527	5164	1682
528	5175	1672
529	5186	1663
530	5186	1650
531	5197	1641
532	5208	1631
533	5208	1619
534	5210	1606
535	5221	1597
536	5221	1585
537	5231	1575
538	5242	1565
539	5242	1553
540	5253	1543
541	5264	1534
542	5275	1525
543	5286	1515
544	5296	1506
545	5308	1497
546	5318	1487
547	5329	1478
548	5340	1468
549	5351	1459
550	5363	1450
551	5363	1438
552	5374	1428
553	5384	1419
554	5385	1407
555	5386	1394
556	5386	1382
557	5397	1373
558	5397	1361
559	5408	1352
560	5419	1342
561	5430	1333
562	5441	1324
563	5452	1314
564	5452	1302
565	5463	1293
566	5474	1284
567	5484	1274
568	5494	1265
569	5506	1255
570	5507	1244
571	5518	1234
572	5518	1223
573	5519	1211
574	5530	1202
575	5540	1192
576	5551	1183
577	5552	1172
578	5564	1162
579	5574	1153
580	5585	1144
581	5596	1134
582	5606	1125
583	5617	1115
584	5629	1106
585	5639	1097
586	5640	1085
587	5650	1076
588	5661	1066
589	5672	1057
590	5683	1048
591	5685	1037
592	5696	1027
593	5706	1018
594	5717	1008
595	5717	997
596	5728	988
597	5739	978
598	5750	969
599	5761	960
600	5767	950
601	5778	940
602	5779	929
603	5780	918
604	5790	909
605	5801	899
606	5811	890
607	5822	881
608	5823	870
609	5833	860
610	5844	851
611	5855	841
612	5857	831
613	5868	821
614	5879	812
615	5880	801
616	5880	791
617	5890	781
618	5901	772
619	5901	761
620	5912	752
621	5912	741
622	5923	732
623	5934	722
624	5934	712
625	5945	702
626	5957	693
627	5957	683
628	5968	673
629	5979	664
630	5990	655
631	6001	645
632	6002	635
633	6013	625
634	6013	615
635	6024	606
636	6035	596
637	6045	587
638	6056	578
639	6057	567
640	6068	558
641	6079	549
642	6080	538
643	6090	529
644	6091	519
645	6101	510
646	6112	500
647	6123	491
648	6134	482
649	6145	472
650	6146	462
651	6157	453
652	6157	443
653	6168	433
654	6179	424
655	6189	415
656	6200	405
657	6200	395
658	6211	386
659	6222	377
660	6233	367
661	6234	357
662	6244	348
663	6256	339
664	6266	329
665	6268	319
666	6278	310
667	6289	301
668	6299	291
669	6311	282
670	6311	272
671	6322	263
672	6333	254
673	6344	244
674	6355	235
675	6365	226
676	6376	216
677	6387	207
678	6387	197
679	6398	188
680	6409	178
681	6420	169
682	6431	160
683	6442	150
684	6453	141
685	6454	131
686	6465	122
687	6476	112
688	6487	103
689	6487	94
690	6498	84
691	6509	75
692	6519	65
693	6530	56
694	6530	46
695	6542	37
696	6552	28
697	6563	18
698	6574	9
699	6585	0
