iter	RMSE
138	2.606363901
139	2.577309751
140	2.549545054
141	2.520840976
142	2.495913156
143	2.472131846
144	2.444824941
145	2.416679596
146	2.393939088
147	2.365414357
148	2.340261546
149	2.314986817
150	2.291724107
151	2.26711901
152	2.245729751
153	2.223167801
154	2.1991102
155	2.177718878
156	2.15375238
157	2.129670608
158	2.109049718
159	2.088021695
160	2.065436906
161	2.044753023
162	2.024511788
163	2.005299536
164	1.98986998
165	1.970572296
166	1.951729786
167	1.930562792
168	1.910529662
169	1.891141415
170	1.873051893
171	1.855460537
172	1.837072259
173	1.81803332
174	1.800563733
175	1.783044032
176	1.765064585
177	1.747266625
178	1.728902594
179	1.711456105
180	1.698321671
181	1.68384232
182	1.672507506
183	1.654267521
184	1.639788647
185	1.622913919
186	1.60927016
187	1.592437871
188	1.578975118
189	1.564937636
190	1.55125224
191	1.539002645
192	1.525130811
193	1.510407227
194	1.496258401
195	1.47930832
196	1.466654888
197	1.454950473
198	1.442557809
199	1.431940467
200	1.418935174
201	1.403515622
202	1.391156588
203	1.377167701
204	1.363215
205	1.349155716
206	1.339470551
207	1.327089649
208	1.31482879
209	1.303037979
210	1.291277909
211	1.280337862
212	1.270217553
213	1.260161483
214	1.250249034
215	1.24040492
216	1.229782847
217	1.219018667
218	1.209506788
219	1.198775325
220	1.18937555
221	1.18000345
222	1.168700629
223	1.157411001
224	1.146865537
225	1.136721356
226	1.127908803
227	1.117968322
228	1.109661146
229	1.100091319
230	1.091585714
231	1.082746977
232	1.074514498
233	1.065407696
234	1.058083263
235	1.049190924
236	1.042925062
237	1.03512854
238	1.027145611
239	1.018428121
240	1.011158001
241	1.002869735
242	0.9956306365
243	0.9892531656
244	0.9820716868
245	0.9742960245
246	0.9662090604
247	0.957957069
248	0.9493751116
249	0.943378785
250	0.9364287339
251	0.9289362334
252	0.921353286
253	0.9134492061
254	0.9092389565
255	0.903837918
256	0.8967029131
257	0.8897267372
258	0.8820400751
259	0.8755950824
260	0.8673624641
261	0.8600184258
262	0.8535593023
263	0.8488807324
264	0.8436155337
265	0.8371962097
266	0.8315196921
267	0.8234865945
268	0.8177658305
269	0.8120673569
270	0.8066216406
271	0.8001381542
272	0.7944652345
273	0.7880304823
274	0.7811139935
275	0.7749891725
276	0.7681050363
277	0.7634024507
278	0.7580661528
279	0.7530805246
280	0.7481751086
281	0.7420577828
282	0.7360367344
283	0.7303065886
284	0.7249550082
285	0.7212498587
286	0.7148929874
287	0.7103409425
288	0.7048653272
289	0.6998739341
290	0.6956398171
291	0.6900506691
292	0.6857681657
293	0.6819520155
294	0.6781483972
295	0.6731951277
296	0.6678766809
297	0.6629006301
298	0.6584638283
299	0.6530097086
300	0.6478534364
301	0.6438754369
302	0.6406163185
303	0.6352331919
304	0.6318849839
305	0.6280822597
306	0.6233646424
307	0.61899709
308	0.6136141986
309	0.6089413291
310	0.6048568832
311	0.5996911627
312	0.5955098412
313	0.5904596133
314	0.5857721155
315	0.5846725481
316	0.5804799037
317	0.577398548
318	0.573314999
319	0.5694082148
320	0.5654511807
321	0.5615005336
322	0.5582274465
323	0.5538719764
324	0.5494338806
325	0.5453219895
326	0.5419162396
327	0.5383407262
328	0.5349246862
329	0.5317040934
330	0.5289897831
331	0.5257618027
332	0.5216910331
333	0.5197065389
334	0.5170290995
335	0.5121005947
336	0.5091625406
337	0.5060824202
338	0.5033258703
339	0.5004052686
340	0.4973188461
341	0.4957429329
342	0.4926272793
343	0.4895588366
344	0.4857448135
345	0.4824302571
346	0.478892846
347	0.4752418663
348	0.4716422152
349	0.4695226249
350	0.4670899621
351	0.4644378574
352	0.4619098349
353	0.459488114
354	0.4567436814
355	0.4539690747
356	0.4512871606
357	0.4488226004
358	0.4462401514
359	0.444409225
360	0.4404190497
361	0.4376801094
362	0.436464976
363	0.4342084217
364	0.4307429489
365	0.4273379613
366	0.4250333315
367	0.422274232
368	0.4196087042
369	0.4162328734
370	0.4145383796
371	0.411891982
372	0.4096246077
373	0.4079536635
374	0.406080381
375	0.4037266384
376	0.4019100543
377	0.4005622668
378	0.3980039944
379	0.3960015388
380	0.3946391238
381	0.3913963875
382	0.3886838843
383	0.3870330497
384	0.3847556607
385	0.382848901
386	0.3805799053
387	0.3788931513
388	0.376849086
389	0.375484689
390	0.3729528661
391	0.3705554124
392	0.3682425412
393	0.3661803682
394	0.3651761706
395	0.3640274672
396	0.3625942478
397	0.3602482855
398	0.3578448534
399	0.3565543666
400	0.3540910898
401	0.3512731734
402	0.3502195788
403	0.3477220447
404	0.3453113061
405	0.343342362
406	0.3416708443
407	0.3400919092
408	0.3374457276
409	0.3361154165
410	0.3339400614
411	0.3321940225
412	0.3310090893
413	0.3286383877
414	0.326792759
415	0.3252024133
416	0.3237292998
417	0.3219006353
418	0.3192658772
419	0.3172394585
420	0.3155686653
421	0.3135815847
422	0.3121020055
423	0.3113922988
424	0.3092745294
425	0.3077038481
426	0.3060265403
427	0.3048041238
428	0.3033116563
429	0.3010972916
430	0.2991673998
431	0.2985706621
432	0.2970159877
433	0.2951310396
434	0.2932113697
435	0.2913188131
436	0.289571063
437	0.2886874954
438	0.2876487171
439	0.2859145537
440	0.2848548623
441	0.2830256384
442	0.281417743
443	0.2793188002
444	0.2775581987
445	0.2758236076
446	0.2748758776
447	0.2734284179
448	0.272675585
449	0.2709968882
450	0.2689162324
451	0.2675132254
452	0.265439588
453	0.2643079404
454	0.2629573554
455	0.2614400682
456	0.2599835967
457	0.2590552547
458	0.2578903042
459	0.2572046265
460	0.2552046083
461	0.2544678817
462	0.2531031091
463	0.2523449729
464	0.2507757572
465	0.2502814649
466	0.2489722721
467	0.247769365
468	0.2465333853
469	0.2462990907
470	0.2452167146
471	0.2438244719
472	0.2436288931
473	0.2422320297
474	0.2409181648
475	0.2395179267
476	0.2384723389
477	0.2382763139
478	0.23723957
479	0.2355126435
480	0.2344856893
481	0.232886637
482	0.2312509149
483	0.2296453827
484	0.2282247245
485	0.2274853768
486	0.2269016367
487	0.2256802969
488	0.2249284626
489	0.2239423459
490	0.2227982354
491	0.2212396102
492	0.2200795211
493	0.2189542701
494	0.2179832462
495	0.2173526628
496	0.2171803086
497	0.2161662189
498	0.2151171905
499	0.2138823405
500	0.2125191202
501	0.2115048871
502	0.2102349443
503	0.2087904951
504	0.2076195334
505	0.2068409406
506	0.20569985
507	0.2049970363
508	0.204149253
509	0.2028924139
510	0.2017852891
511	0.2014014179
512	0.2010852516
513	0.2000947034
514	0.1993440886
515	0.1983322294
516	0.1974038541
517	0.1966647033
518	0.1955553868
519	0.1942582434
520	0.1930593662
521	0.1918956843
522	0.1908267309
523	0.1900641138
524	0.1899001967
525	0.1887006437
526	0.1883351427
527	0.1877997795
528	0.1868491744
529	0.185691056
530	0.1854194208
531	0.1845149708
532	0.1831343184
533	0.1828340018
534	0.1824711377
535	0.1816196756
536	0.1814962343
537	0.1805089042
538	0.1794406289
539	0.1792780516
540	0.1781838257
541	0.1772877628
542	0.176262411
543	0.1752389174
544	0.1742322275
545	0.1731347033
546	0.1721613016
547	0.1713857744
548	0.170363181
549	0.1695083007
550	0.1684996626
551	0.1682470822
552	0.1673037526
553	0.1664758688
554	0.1661997858
555	0.1660332398
556	0.1658048043
557	0.1645481786
558	0.1643208723
559	0.1631086839
560	0.1621982373
561	0.1614523505
562	0.1603650698
563	0.15948638
564	0.15936024
565	0.1584586077
566	0.1574104751
567	0.1564084429
568	0.1557816944
569	0.1546271482
570	0.1544724732
571	0.1535339202
572	0.153318336
573	0.1530407905
574	0.1523575077
575	0.1513036939
576	0.1504847816
577	0.1501659827
578	0.1492681566
579	0.1484275601
580	0.1472204669
581	0.1463580112
582	0.1455039615
583	0.1447490329
584	0.1439330778
585	0.1432576555
586	0.1430835144
587	0.1427144803
588	0.142009158
589	0.1413112657
590	0.1403019111
591	0.1399312966
592	0.139271838
593	0.1384588434
594	0.137794175
595	0.13760874
596	0.1368002446
597	0.1359245386
598	0.1351552698
599	0.1345474764
600	0.1340966265
601	0.1334887935
602	0.1333119708
603	0.1331170958
604	0.132560772
605	0.1318353843
606	0.1311803288
607	0.1303473609
608	0.1301782434
609	0.1295584637
610	0.1289545882
611	0.1283779422
612	0.1281028254
613	0.1274131743
614	0.1269255124
615	0.1267938033
616	0.1267122099
617	0.1261087117
618	0.125593123
619	0.1254795567
620	0.1246654457
621	0.1245157353
622	0.1239990742
623	0.1232579308
624	0.1231079826
625	0.1226584202
626	0.1221020167
627	0.1219563515
628	0.1212465942
629	0.120593417
630	0.1199633114
631	0.1194278642
632	0.1193246474
633	0.1186700742
634	0.1185915372
635	0.1179715005
636	0.1174266393
637	0.1168834017
638	0.1162920685
639	0.116151006
640	0.1156373853
641	0.1150007506
642	0.1148771273
643	0.1142250671
644	0.1140351599
645	0.1136224162
646	0.1129761407
647	0.1123895792
648	0.1118666242
649	0.1112297559
650	0.1110087993
651	0.110418563
652	0.1102592838
653	0.1097150969
654	0.1092089002
655	0.1086017446
656	0.1081728238
657	0.1080539026
658	0.107469577
659	0.1068940499
660	0.1061599064
661	0.1060429737
662	0.1056411671
663	0.1051634016
664	0.1046166731
665	0.1044406108
666	0.1039467295
667	0.1033951561
668	0.1028172036
669	0.1023281355
670	0.1022197627
671	0.1016730871
672	0.1012305505
673	0.1007251635
674	0.1002559129
675	0.09981812641
676	0.09925218109
677	0.09876149008
678	0.09865710162
679	0.09816201355
680	0.09765640032
681	0.09717462523
682	0.09665206476
683	0.09595976015
684	0.09549119435
685	0.09533132049
686	0.09487688219
687	0.09434002991
688	0.09377271704
689	0.09369551902
690	0.09331511939
691	0.09281738559
692	0.09220345077
693	0.09177725376
694	0.09168523836
695	0.09125913679
696	0.09083757185
697	0.09029107473
698	0.08981071833
699	0.08930634878
